model,model_year,engine_hp,engine_cylinders,driven_wheels,number_of_doors,highway_mpg,city_mpg,popularity,msrp,maker_name,type_name,transmission_type_name,vehicle_size_name,vehicle_style_name,cost_per_unit,units_sold,profit_per_unit
370Z,2017,350.0,6.0,0,2.0,26,19,2009,46790,0,0,0,0,1,39657.82,514465,7132.18
Baja,2004,165.0,4.0,3,4.0,25,19,640,21995,17,1,1,0,9,20114.32,728722,1880.68
Beetle Convertible,2014,210.0,4.0,1,2.0,29,23,873,34895,4,2,2,0,0,31091.99,863368,3803.01
Beretta,1996,155.0,6.0,1,2.0,27,18,1385,2000,5,1,0,2,1,1809.05,708923,190.95
300ZX,1996,222.0,6.0,0,2.0,22,17,2009,3107,0,1,1,0,1,2878.39,839020,228.61
Cube,2012,122.0,4.0,1,4.0,30,25,2009,16580,0,1,1,0,12,15116.24,798000,1463.76
Dart,2014,184.0,4.0,1,4.0,35,23,1851,22995,7,1,0,2,2,21008.46,897857,1986.54
Accord,2015,185.0,4.0,1,2.0,35,26,2202,26300,3,1,0,2,1,24429.59,719285,1870.41
Crosstour,2015,278.0,6.0,1,4.0,30,20,2202,33840,3,1,0,2,7,31227.58,819934,2612.42
ECHO,2003,108.0,4.0,1,2.0,36,28,2031,11045,13,1,0,0,1,9904.21,714573,1140.79
C-Class,2016,241.0,4.0,3,4.0,31,24,617,43125,18,0,0,2,2,36824.83,438992,6300.17
Cayman,2015,340.0,6.0,0,2.0,26,19,1715,75200,12,0,1,0,1,59038.01,31787,16161.99
Excel,1992,81.0,4.0,1,4.0,30,25,1439,2000,19,1,1,0,2,1836.67,748960,163.33
F-150,2017,325.0,6.0,0,4.0,26,19,5657,35895,8,1,0,1,4,31745.9,915096,4149.1
500-Class,1992,322.0,8.0,0,4.0,16,13,617,3245,18,1,0,2,2,2932.29,785319,312.71
911,2015,350.0,6.0,3,2.0,27,19,1715,91030,12,0,1,0,1,69294.27,18590,21735.73
Altima,2015,182.0,4.0,1,4.0,38,27,2009,22560,0,1,0,2,2,20331.15,808433,2228.85
ATS,2015,272.0,4.0,3,4.0,28,20,1624,37245,10,2,0,0,2,32846.77,908688,4398.23
3 Series,2017,180.0,4.0,3,4.0,34,23,3916,35450,20,2,0,2,2,32497.75,878638,2952.25
300-Class,1992,121.0,5.0,0,4.0,29,23,617,2000,18,4,0,2,2,1839.94,694595,160.06
80,1991,130.0,5.0,3,4.0,22,16,3105,2000,9,1,1,0,2,1768.62,790476,231.38
B-Series Pickup,1999,160.0,6.0,0,2.0,20,15,586,3221,2,1,0,0,4,2933.66,893707,287.34
Charger,2017,370.0,8.0,0,4.0,25,16,1851,39890,7,1,0,1,2,35289.14,903243,4600.86
Continental GT,2015,500.0,8.0,3,2.0,24,14,520,206300,21,0,0,2,0,143462.49,598,62837.51
Blazer,2005,190.0,6.0,2,4.0,18,14,1385,27480,5,1,0,2,11,24912.12,719477,2567.88
Celica,2003,140.0,4.0,1,2.0,33,25,2031,18140,13,1,0,0,5,16453.16,901875,1686.84
Challenger,2016,375.0,8.0,0,2.0,23,15,1851,38995,7,1,1,1,1,34491.2,699273,4503.8
CLS-Class,2015,402.0,8.0,0,4.0,26,17,617,73200,18,0,0,2,2,60715.05,61108,12484.95
Corolla,2015,132.0,4.0,1,4.0,37,28,2031,16950,13,1,1,0,2,15053.07,811590,1896.93
Beetle Convertible,2015,210.0,4.0,1,2.0,29,23,873,35975,4,2,2,0,0,32474.27,845350,3500.73
Beetle,2016,210.0,4.0,1,2.0,31,23,873,25995,4,2,1,0,5,23875.2,708445,2119.8
C/K 1500 Series,1997,230.0,8.0,2,2.0,17,11,1385,3120,5,1,1,1,4,2856.15,859084,263.85
C/K 1500 Series,1998,200.0,6.0,0,2.0,21,16,1385,2898,5,1,1,1,3,2576.41,888791,321.59
Dakota,2008,210.0,6.0,2,4.0,18,14,1851,30510,7,1,0,0,9,27146.74,735563,3363.26
Dakota,2009,210.0,6.0,2,4.0,18,14,1851,31630,7,1,0,0,9,28539.91,857921,3090.09
Corolla,2015,132.0,4.0,1,4.0,37,29,2031,22955,13,1,0,0,2,21019.76,738913,1935.24
Corolla,2016,132.0,4.0,1,4.0,37,28,2031,17300,13,1,1,0,2,15783.1,772727,1516.9
Frontier,2015,261.0,6.0,2,4.0,21,16,2009,25400,0,1,1,0,9,23565.81,835698,1834.19
HHR,2009,155.0,4.0,1,4.0,30,22,1385,20720,5,3,0,0,12,18529.12,744929,2190.88
370Z,2017,332.0,6.0,0,2.0,24,17,2009,48100,0,0,1,0,0,41522.33,492020,6577.67
Juke,2016,188.0,4.0,1,4.0,34,28,2009,24830,0,2,1,0,7,22320.69,755643,2509.31
Juke,2016,215.0,4.0,3,4.0,29,25,2009,30020,0,0,0,0,7,27887.22,793523,2132.78
Beetle,2016,170.0,4.0,1,2.0,31,24,873,23995,4,1,0,0,5,21180.05,848129,2814.95
Camry,2016,178.0,4.0,1,4.0,35,25,2031,23070,13,1,0,2,2,20561.27,881373,2508.73
3000GT,1998,218.0,6.0,1,2.0,23,17,436,4671,11,1,1,0,5,4176.16,901025,494.84
300,2016,300.0,6.0,0,4.0,31,19,1013,36090,6,1,0,1,2,32935.3,756637,3154.7
B-Series Truck,2008,143.0,4.0,0,2.0,26,21,586,15535,2,1,1,0,3,13994.26,719201,1540.74
Cavalier,2004,140.0,4.0,1,4.0,33,23,1385,14435,5,1,1,0,2,13132.4,798470,1302.6
Colorado,2012,185.0,4.0,0,2.0,25,18,1385,20370,5,1,0,0,3,18128.7,781150,2241.3
Canyon,2016,305.0,6.0,0,4.0,26,18,549,31540,14,1,0,0,4,28325.55,885922,3214.45
Cruze Limited,2016,138.0,4.0,1,4.0,36,25,1385,16120,5,1,1,2,2,14578.0,812044,1542.0
CX-9,2016,227.0,4.0,1,4.0,28,22,586,31520,2,1,0,1,11,27988.01,836746,3531.99
Elantra Coupe,2013,145.0,4.0,1,2.0,37,27,1439,20895,19,1,0,0,1,19290.65,717377,1604.35
Equinox,2015,182.0,4.0,3,4.0,29,20,1385,26270,5,1,0,0,11,23362.06,701222,2907.94
Civic,2017,174.0,4.0,1,2.0,40,31,2202,23525,3,1,0,0,1,20990.3,790900,2534.7
CTS Wagon,2013,318.0,6.0,0,4.0,26,18,1624,49750,10,1,0,2,12,43367.57,487252,6382.43
CTS,2015,321.0,6.0,3,4.0,26,18,1624,59370,10,3,0,1,2,50270.51,504737,9099.49
Diamante,2002,205.0,6.0,1,4.0,23,16,436,28447,11,0,0,2,2,25476.19,792449,2970.81
Altima,2015,270.0,6.0,1,4.0,32,22,2009,31950,0,1,0,2,2,28169.88,891776,3780.12
ATS,2016,272.0,4.0,0,4.0,31,22,1624,43155,10,2,0,2,2,37140.33,503306,6014.67
CC,2015,200.0,4.0,1,4.0,31,22,873,34095,4,2,2,2,2,31200.08,733899,2894.92
Allante,1991,200.0,8.0,1,2.0,20,14,1624,2000,10,1,0,0,0,1803.06,709864,196.94
Allante,1992,200.0,8.0,1,2.0,20,14,1624,2234,10,1,0,0,0,2049.92,892095,184.08
Corolla,2015,132.0,4.0,1,4.0,37,28,2031,21495,13,1,1,0,2,19209.35,833342,2285.65
Corolla,2015,140.0,4.0,1,4.0,40,30,2031,22725,13,1,0,0,2,20215.14,747284,2509.86
8 Series,1996,282.0,8.0,0,2.0,19,14,3916,5680,20,1,0,2,1,5130.91,791346,549.09
80,1991,130.0,5.0,1,4.0,24,18,3105,2000,9,1,1,0,2,1816.64,817586,183.36
Express Cargo,2014,310.0,8.0,3,3.0,17,13,1385,32760,5,3,0,2,14,30077.07,913266,2682.93
Express,2014,285.0,8.0,0,3.0,17,11,1385,34160,5,3,0,2,6,30166.08,762928,3993.92
Frontier,2017,261.0,6.0,0,4.0,23,16,2009,26470,0,1,0,0,9,23708.45,793830,2761.55
Frontier,2017,261.0,6.0,2,4.0,21,15,2009,27650,0,1,0,0,9,25438.01,886353,2211.99
CX-9,2016,227.0,4.0,3,4.0,27,21,586,33320,2,1,0,1,11,30640.41,882449,2679.59
Dakota,2008,210.0,6.0,0,4.0,20,15,1851,22030,7,1,0,0,4,20379.82,908829,1650.18
370Z,2015,332.0,6.0,0,2.0,26,18,2009,29990,0,0,1,0,1,26812.61,724905,3177.39
370Z,2016,332.0,6.0,0,2.0,25,18,2009,41820,0,0,0,0,0,36787.55,491290,5032.45
4 Series,2015,240.0,4.0,3,2.0,33,22,3916,42750,20,0,0,2,1,35876.47,516976,6873.53
62,2010,543.0,12.0,0,4.0,16,10,67,417000,22,0,0,1,2,302700.39,397,114299.61
Accord Crosstour,2010,271.0,6.0,1,4.0,27,18,2202,34770,3,1,0,2,7,31110.3,786722,3659.7
Beetle,2016,170.0,4.0,1,2.0,34,25,873,22450,4,1,0,0,5,19868.08,854924,2581.92
Civic,2015,110.0,4.0,1,4.0,47,44,2202,27435,3,1,0,0,2,25081.19,700220,2353.81
Crosstour,2014,192.0,4.0,1,4.0,31,22,2202,31065,3,1,0,2,7,27861.53,743222,3203.47
Dakota,2008,210.0,6.0,0,4.0,20,15,1851,26920,7,1,0,0,9,24339.95,827175,2580.05
ECHO,2004,108.0,4.0,1,4.0,36,28,2031,11685,13,1,0,0,2,10864.63,864048,820.37
A4 allroad,2017,252.0,4.0,3,4.0,28,23,3105,47000,9,2,2,2,12,40316.83,436437,6683.17
Astro,2004,190.0,6.0,3,3.0,16,12,1385,26195,5,1,0,1,8,24066.76,785682,2128.24
350Z,2007,306.0,6.0,0,2.0,25,18,2009,38070,0,1,1,0,1,33828.35,701652,4241.65
6 Series Gran Coupe,2017,315.0,6.0,3,4.0,28,19,3916,82800,20,0,0,1,2,67718.84,21061,15081.16
Accord,2017,278.0,6.0,1,4.0,33,21,2202,32895,3,1,0,2,2,29694.9,802000,3200.1
B-Series Pickup,2000,143.0,6.0,0,2.0,21,16,586,2413,2,3,1,0,3,2146.74,752448,266.26
Envoy XL,2005,275.0,6.0,2,4.0,17,12,549,31945,14,1,0,1,11,28764.3,905797,3180.7
Esteem,2001,122.0,4.0,1,4.0,30,23,481,15199,23,1,0,0,2,13736.42,902258,1462.58
Civic,2016,174.0,4.0,1,2.0,41,31,2202,26125,3,1,0,0,1,23671.26,775254,2453.74
Continental GTC Speed,2010,600.0,12.0,3,2.0,17,10,520,231400,21,0,0,2,0,173218.32,564,58181.68
CL-Class,2014,429.0,8.0,3,2.0,24,15,617,116600,18,0,0,1,1,82842.82,728,33757.18
Corvette,2016,650.0,8.0,0,2.0,22,15,1385,88345,5,0,1,0,1,72123.9,19767,16221.1
Element,2009,166.0,4.0,1,4.0,25,20,2202,22385,3,1,0,0,11,20089.13,752782,2295.87
Escalade,2015,420.0,8.0,0,4.0,22,15,1624,76970,10,3,0,1,11,61919.92,55605,15050.08
1 Series,2013,230.0,6.0,0,2.0,28,19,3916,37200,20,0,1,0,0,33689.52,736258,3510.48
190-Class,1991,158.0,6.0,0,4.0,25,17,617,2000,18,1,1,0,2,1811.4,709722,188.6
6,2015,184.0,4.0,1,4.0,37,25,586,23845,2,1,1,2,2,21007.52,712130,2837.48
A4,2017,252.0,4.0,1,4.0,33,25,3105,41100,9,2,2,2,2,34877.66,509080,6222.34
A6,2017,252.0,4.0,3,4.0,31,22,3105,53800,9,2,0,2,2,46643.88,496494,7156.12
Baja,2005,210.0,4.0,3,4.0,23,17,640,24345,17,0,1,0,9,21654.97,784389,2690.03
Baja,2006,210.0,4.0,3,4.0,23,17,640,24595,17,0,1,0,9,22781.68,845737,1813.32
Blazer,2004,190.0,6.0,0,2.0,19,14,1385,23255,5,1,1,0,13,20840.85,711518,2414.15
Blazer,2004,190.0,6.0,0,2.0,19,14,1385,21055,5,1,1,0,13,19519.53,781845,1535.47
CR-V,2014,185.0,4.0,3,4.0,30,22,2202,24370,3,1,0,0,11,22370.95,831102,1999.05
CR-V,2014,185.0,4.0,3,4.0,30,22,2202,29120,3,1,0,0,11,26134.68,845816,2985.32
Dart,2016,160.0,4.0,1,4.0,36,25,1851,18995,7,1,1,2,2,17058.5,721797,1936.5
Daytona,1993,100.0,4.0,1,2.0,29,22,1851,2000,7,1,1,0,5,1848.75,726329,151.25
Dakota,2008,210.0,6.0,0,4.0,20,16,1851,20995,7,1,1,0,4,18946.47,694619,2048.53
Dakota,2009,210.0,6.0,2,4.0,18,14,1851,31045,7,1,0,0,9,27501.85,879708,3543.15
Cayman,2014,275.0,6.0,0,2.0,30,20,1715,52600,12,0,1,0,1,44390.79,421383,8209.21
Cayman,2015,325.0,6.0,0,2.0,28,20,1715,63800,12,0,1,0,1,53050.1,49967,10749.9
500-Class,1992,322.0,8.0,0,2.0,17,13,617,4701,18,1,0,0,0,4233.38,816110,467.62
90,1993,172.0,6.0,1,4.0,24,18,3105,2000,9,1,1,0,2,1786.97,844901,213.03
ATS Coupe,2016,335.0,6.0,3,2.0,28,19,1624,50675,10,1,0,0,1,42451.46,512266,8223.54
ATS Coupe,2016,272.0,4.0,0,2.0,31,22,1624,37995,10,2,0,0,1,34327.31,805546,3667.69
300-Class,1991,158.0,6.0,0,4.0,22,17,617,2000,18,1,0,2,2,1769.93,769329,230.07
300-Class,1991,228.0,6.0,0,2.0,21,14,617,3552,18,1,1,0,0,3209.93,805421,342.07
9-3 Griffin,2012,220.0,4.0,1,2.0,28,18,376,44080,24,5,0,0,0,37374.42,497581,6705.58
Acadia,2015,281.0,6.0,1,4.0,24,17,549,33975,14,1,0,2,11,30782.79,769077,3192.21
Avalon,2017,268.0,6.0,1,4.0,30,21,2031,37650,13,1,0,2,2,33317.63,883341,4332.37
Bronco II,1990,140.0,6.0,0,2.0,20,16,5657,2000,8,1,1,0,13,1805.95,912418,194.05
3,2015,155.0,4.0,1,4.0,40,30,586,19995,2,1,0,0,7,17993.57,778386,2001.43
Civic,2017,158.0,4.0,1,2.0,39,28,2202,19150,3,1,1,0,1,17347.86,748889,1802.14
Crossfire,2008,215.0,6.0,0,2.0,23,15,1013,34735,6,0,1,0,5,31156.82,820786,3578.18
Crown Victoria,2009,224.0,8.0,0,4.0,24,16,5657,29205,8,3,0,1,2,27109.59,876499,2095.41
Dakota,2009,210.0,6.0,2,4.0,18,14,1851,27960,7,1,0,0,4,24927.49,899739,3032.51
Contour,1998,125.0,4.0,1,4.0,32,21,5657,2000,8,1,1,2,2,1771.84,796822,228.16
Corolla,2017,132.0,4.0,1,4.0,36,28,2031,21825,13,1,0,0,2,19363.88,824667,2461.12
Frontier,2015,261.0,6.0,2,4.0,21,15,2009,32560,0,1,0,0,9,29704.09,711781,2855.91
Highlander Hybrid,2014,280.0,6.0,3,4.0,28,27,2031,49790,13,1,0,2,11,41509.87,464916,8280.13
Impala,2015,305.0,6.0,1,4.0,29,19,1385,30285,5,3,0,1,2,27841.6,877242,2443.4
323,1993,82.0,4.0,1,2.0,32,24,586,2000,2,1,1,0,5,1811.41,911140,188.59
5,2013,157.0,4.0,1,4.0,28,22,586,22070,2,1,0,0,8,19779.66,905821,2290.34
6 Series Gran Coupe,2016,445.0,8.0,3,4.0,24,15,3916,93900,20,0,0,1,2,70684.24,23772,23215.76
A3,2015,220.0,4.0,3,2.0,32,23,3105,41150,9,2,2,0,0,34699.99,473749,6450.01
Arnage,2008,450.0,8.0,0,4.0,15,10,520,221990,21,0,0,1,2,164441.27,550,57548.73
B9 Tribeca,2006,250.0,6.0,3,4.0,21,16,640,35695,17,0,0,2,11,32951.48,849754,2743.52
C-Max Hybrid,2015,188.0,4.0,1,4.0,37,42,5657,24170,8,1,0,0,12,22067.24,768041,2102.76
Camry Hybrid,2016,200.0,4.0,1,4.0,38,40,2031,30140,13,1,0,2,2,26634.08,889931,3505.92
Camry Solara,2008,210.0,6.0,1,2.0,26,18,2031,30710,13,1,0,2,0,27482.07,725361,3227.93
Canyon,2012,185.0,4.0,2,2.0,23,17,549,22385,14,1,0,0,3,19701.18,845685,2683.82
Civic,2017,174.0,4.0,1,4.0,40,31,2202,20500,3,1,0,0,7,18265.87,740936,2234.13
300,2016,292.0,6.0,3,4.0,27,18,1013,34760,6,1,0,1,2,31301.06,913351,3458.94
B-Series Pickup,2000,143.0,6.0,0,2.0,21,16,586,3032,2,3,1,0,4,2775.02,789480,256.98
Cavalier,2005,140.0,4.0,1,4.0,33,23,1385,16290,5,1,1,0,2,15070.2,847021,1219.8
CT6,2017,404.0,6.0,3,4.0,26,18,1624,87495,10,0,0,1,2,71736.85,15435,15758.15
Canyon,2015,305.0,6.0,2,4.0,24,17,549,34010,14,1,0,0,9,30835.6,914388,3174.4
Fusion Hybrid,2016,188.0,4.0,1,4.0,41,44,5657,31430,8,1,0,2,2,28097.44,867879,3332.56
Gallardo,2012,550.0,10.0,0,2.0,20,12,1158,187900,25,0,1,0,1,134891.96,513,53008.04
575M,2004,515.0,12.0,0,2.0,15,9,2774,217890,1,0,1,0,1,176301.19,375,41588.81
Achieva,1996,150.0,4.0,1,2.0,30,20,26,2000,26,1,1,2,1,1766.92,867811,233.08
Aerio,2006,155.0,4.0,1,4.0,28,22,481,14599,23,1,1,0,12,12983.83,882973,1615.17
F-150 Heritage,2004,231.0,8.0,2,4.0,17,13,5657,28975,8,1,0,1,4,26630.76,893614,2344.24
Camry,2015,178.0,4.0,1,4.0,35,25,2031,26150,13,1,0,2,2,23731.72,880319,2418.28
2,2014,100.0,4.0,1,4.0,35,29,586,16210,2,1,1,0,7,15032.31,869733,1177.69
4Runner,2014,270.0,6.0,2,4.0,22,17,2031,38645,13,1,0,2,11,35401.45,709420,3243.55
4Runner,2016,270.0,6.0,0,4.0,22,17,2031,34010,13,1,0,2,11,31250.34,705470,2759.66
Beetle Convertible,2014,170.0,4.0,1,2.0,32,24,873,29395,4,1,0,0,0,27252.09,718538,2142.91
Borrego,2009,276.0,6.0,0,4.0,21,17,1720,27995,27,1,0,2,11,24875.39,841754,3119.61
CL,2001,225.0,6.0,1,2.0,27,17,204,27980,28,0,0,2,1,25997.1,743636,1982.9
Corolla,2016,132.0,4.0,1,4.0,37,29,2031,19365,13,1,0,0,2,17856.64,767641,1508.36
CX-5,2016,184.0,4.0,1,4.0,33,26,586,28220,2,1,0,2,11,26073.42,810801,2146.58
Accord,2015,278.0,6.0,1,4.0,34,21,2202,33630,3,1,0,2,2,30762.27,905742,2867.73
Accord,2016,185.0,4.0,1,4.0,34,23,2202,25580,3,1,1,2,2,23337.32,811786,2242.68
Fit EV,2013,,0.0,1,4.0,105,132,2202,36625,3,6,3,0,7,33509.89,749143,3115.11
Frontier,2016,261.0,6.0,2,4.0,21,15,2009,28380,0,1,0,0,9,25223.58,796376,3156.42
Golf GTI,2015,210.0,4.0,1,4.0,33,25,873,26485,4,2,2,0,7,23606.08,785916,2878.92
Grand Am,2003,175.0,6.0,1,4.0,27,18,210,22940,29,1,0,2,2,20761.0,767762,2179.0
Beetle,2015,170.0,4.0,1,2.0,33,25,873,24185,4,1,0,0,5,21905.12,892909,2279.88
Colorado,2015,200.0,4.0,0,4.0,27,20,1385,27110,5,1,0,0,9,24577.96,736916,2532.04
370Z,2015,332.0,6.0,0,2.0,26,18,2009,37970,0,0,1,0,1,33773.71,734683,4196.29
370Z,2015,350.0,6.0,0,2.0,26,18,2009,41990,0,0,1,0,1,35035.0,490777,6955.0
370Z,2015,350.0,6.0,0,2.0,26,19,2009,43290,0,0,0,0,1,38010.66,471927,5279.34
6 Series,2017,315.0,6.0,3,2.0,28,19,3916,88100,20,0,0,2,0,67681.78,18466,20418.22
6000,1990,140.0,6.0,3,4.0,27,17,210,2000,29,1,0,2,2,1776.2,711873,223.8
Beetle Convertible,2015,210.0,4.0,1,2.0,31,23,873,30895,4,2,1,0,0,28713.9,810692,2181.1
Beetle Convertible,2015,150.0,4.0,1,2.0,40,30,873,29675,4,4,1,0,0,27558.15,843709,2116.85
Cruze Limited,2016,138.0,4.0,1,4.0,38,26,1385,23370,5,1,0,2,2,21140.61,830308,2229.39
Dakota,2008,210.0,6.0,2,4.0,19,15,1851,25245,7,1,1,0,4,23219.89,782813,2025.11
Edge,2017,245.0,4.0,1,4.0,29,20,5657,31790,8,2,0,2,11,29464.09,889107,2325.91
Equator,2012,261.0,6.0,2,4.0,19,15,481,29550,23,1,0,0,9,26560.31,779436,2989.69
Civic,2017,174.0,4.0,1,4.0,42,32,2202,24800,3,1,0,2,2,22660.87,772364,2139.13
Continental,2002,275.0,8.0,1,4.0,23,15,61,39775,30,0,0,1,2,36499.58,782725,3275.42
CTS,2015,272.0,4.0,3,4.0,28,19,1624,62070,10,2,0,1,2,51575.99,64196,10494.01
Discovery Sport,2017,240.0,4.0,3,4.0,25,20,258,42195,16,2,0,2,11,35533.06,469798,6661.94
ATS Coupe,2016,272.0,4.0,3,2.0,30,22,1624,47445,10,2,0,0,1,40715.48,505531,6729.52
ATS,2015,321.0,6.0,3,4.0,26,18,1624,43340,10,3,0,0,2,36345.23,455482,6994.77
Cayman S,2006,295.0,6.0,0,2.0,26,18,1715,58900,12,0,1,0,1,51380.15,479482,7519.85
9-2X,2006,173.0,4.0,3,4.0,26,19,376,22990,24,1,1,0,12,20553.88,914892,2436.12
A7,2017,333.0,6.0,3,4.0,29,21,3105,68800,9,0,0,1,2,55272.22,68250,13527.78
